#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2026-02-26T09:20:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-26T09:20:33	  Query execution date
#INFO	request=https://vizier.u-strasbg.fr/viz-bin/asu-tsv?-source=J/ApJ/856/23/members&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	MaxTuples=50000	

#RESOURCE=yCat_18560023
#Name: J/ApJ/856/23
#Title: BANYAN. XI. The BANYAN {Sigma} algorithm (Gagne+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apj/856/23	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/856/23	    IVOID of underlying data collection
#INFO	creator=Gagne J.	    First author or institution
#INFO	cites=bibcode:2018ApJ...856...23G	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/856/23	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18560023	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-01-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_856_23_members:
#Name: J/ApJ/856/23/members
#Title: Literature compilation of bona fide members (tables 5 and 7)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Assoc	(a6)	Association short name (G1)	[ucd=meta.id.parent]
#Column	Main	(a27)	Main designation	[ucd=meta.id;meta.main]
#Column	SpT	(a13)	Spectral Type	[ucd=src.spType]
#Column	RAJ2000	(A11)	[0/23]? Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	? Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F7.2)	[-604/435]? Proper motion in RA, pm*cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F5.2)	[0.02/20]? Uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	[-729/356]? Proper motion in DE	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F5.2)	[0.01/20]? Uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RVel	(F6.2)	[-23.7/45]? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RVel	(F5.2)	[0.03/7]? Uncertainty on RVel	[ucd=stat.error;spect.dopplerVeloc]
#Column	Dist	(F6.2)	[7.1/210]? Trigonometric distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0/30]? Uncertainty on Dist	[ucd=stat.error]
#Column	Comp	(A11)	Companion Flag (G2)	[ucd=meta.code.error]
#Column	r_SpT	(I3)	? Reference for spectral type (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_pm	(I3)	? Reference for proper motion (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_RVel	(a10)	Reference(s) for radial velocity (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_Dist	(I3)	? Reference for trigonometric distance (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	2MASS	(A17)	2MASS designation (JHHMMSSss+DDMMSSs)	[ucd=meta.id.cross]
#Column	WISEA	(A19)	ALLWISE designation (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id.cross]
#Column	Gaia	(I19)	? Gaia-DR1 Source ID (<Gaia DR1 NNNNNNNNNNNNNNNNNNN> in Simbad)	[ucd=meta.id.cross]
#Column	OName	(a42)	Other name(s), separated by ";"	[ucd=meta.id]
#Column	SimbadName	(a26)	Simbad column added by the CDS	[ucd=meta.id]
recno	Assoc	Main	SpT	RAJ2000	DEJ2000	pmRA	e_pmRA	pmDE	e_pmDE	RVel	e_RVel	Dist	e_Dist	Comp	r_SpT	r_pm	r_RVel	r_Dist	2MASS	WISEA	Gaia	OName	SimbadName
     692	TAU   	V410 Tau                   	K3Ve         	04 18 31.10	+28 27 16.2	   8.60	 0.20	 -24.90	 0.10	 20.00	 2.00	129.00	 5.00	           	188	  5	 20       	  5	J04183110+2827162	J041831.11+282715.7	 164518584835041280	                                          	V410 Tau
     693	TAU   	V1023 Tau                  	K7           	04 18 47.04	+28 20 07.3	   7.00	 3.00	 -23.00	 5.00	 15.00	 2.00	      	     	           	193	139	194       	   	J04184703+2820073	J041847.03+282007.1	 164513533953501440	                                          	V1023 Tau
     694	TAU   	BP Tau                     	K5/7Ve       	04 19 15.84	+29 06 26.9	   8.70	 0.40	 -25.80	 0.20	 16.20	 0.70	127.00	 6.00	           	188	  5	 27       	  5	J04191583+2906269	J041915.83+290626.6	 164832735923325440	                                          	BP Tau
     695	TAU   	V819 Tau                   	K7           	04 19 26.26	+28 26 14.3	   6.00	 3.00	 -29.00	 3.00	 14.00	 1.00	      	     	           	186	139	185       	   	J04192625+2826142	J041926.27+282613.8	 164504462982412288	                                          	V819 Tau
     696	TAU   	LkCa 7                     	M0           	04 19 41.27	+27 49 48.5	   5.00	 5.00	 -26.00	 5.00	 15.90	 0.70	      	     	           	186	153	190       	   	J04194127+2749484	J041941.28+274948.1	 164422961683000320	                                          	LkCa 7
     697	TAU   	V652 Per                   	K4.5         	04 20 24.12	+31 23 23.4	   0.00	 3.00	 -23.00	 2.00	 13.00	 2.00	      	     	           	174	139	187       	   	J04202412+3123237	J042024.11+312323.5	 166295842301421952	                                          	V652 Per
     698	TAU   	2MASS J04204982+3009155    	K7           	04 20 49.82	+30 09 15.3	   6.00	 5.00	  -9.00	 5.00	 19.00	 2.00	      	     	           	174	139	187       	   	J04204982+3009155	J042049.80+300915.2	 165313703539938560	                                          	2MASS J04204982+3009155
     699	TAU   	DE Tau                     	M3Ve         	04 21 55.64	+27 55 06.1	   7.00	 2.00	 -35.00	 3.00	 14.90	 0.60	      	     	           	188	139	194       	   	J04215563+2755060	J042155.64+275505.8	 152511471183574656	                                          	DE Tau
     700	TAU   	RY Tau                     	K1IV/Ve      	04 21 57.40	+28 26 35.5	   9.10	 0.10	 -25.86	 0.09	 24.00	 2.00	      	     	           	188	  5	 20       	   	J04215740+2826355	                   	 164551157867546496	                                          	RY Tau
     701	TAU   	HD 283572                  	G5IVe        	04 21 58.84	+28 18 06.7	   8.90	 0.10	 -26.36	 0.07	 15.00	 2.00	125.00	 4.00	           	195	  5	196       	  5	J04215884+2818066	J042158.85+281806.0	 164536245741098240	                                          	HD 283572
     702	TAU   	T Tau                      	K0IV/Ve      	04 21 59.43	+19 32 06.4	  11.60	 0.10	 -13.52	 0.08	 19.00	 1.00	139.00	 6.00	           	188	  5	194       	  5	J04215943+1932063	J042159.44+193205.8	  48192969034959232	T Tau N                                   	T Tau
     703	TAU   	HD 285751                  	K2V?         	04 23 41.33	+15 37 54.7	   5.00	 1.00	 -15.00	 0.90	 11.10	 0.50	101.00	 3.00	           	 12	  5	 12       	  5	J04234133+1537549	J042341.32+153754.7	3312019809327661568	                                          	HD 285751
     704	TAU   	V1201 Tau                  	K1           	04 24 48.17	+26 43 15.8	   9.00	 2.00	 -15.00	 1.00	 13.00	 2.00	150.00	10.00	           	193	  5	187       	  5	J04244815+2643161	J042448.17+264315.7	 152104377002638592	                                          	V1201 Tau
     705	TAU   	IP Tau                     	M0:Ve        	04 24 57.08	+27 11 56.5	   4.00	 3.00	 -26.00	 5.00	 15.00	 1.00	      	     	           	197	139	190       	   	J04245708+2711565	J042457.08+271156.2	 152226491513195648	LkCa 8                                    	IP Tau
     706	TAU   	DF Tau                     	M3Ve         	04 27 02.80	+25 42 22.3	  13.00	 5.00	 -19.00	 7.00	 12.00	 3.00	      	     	           	188	 16	 20       	   	J04270280+2542223	J042702.79+254222.1	 151179962601778944	                                          	DF Tau
     707	TAU   	DG Tau                     	K6Ve         	04 27 04.70	+26 06 16.3	   4.00	 3.00	 -20.00	 3.00	 23.00	 2.00	      	     	           	198	139	199       	   	J04270469+2606163	J042704.71+260615.6	 151262700852297728	                                          	DG Tau
     708	TAU   	HIP 20782                  	G5           	04 27 05.98	+18 12 36.9	   0.60	 0.60	 -15.70	 0.40	 15.00	 2.00	140.00	10.00	           	   	  5	187       	  5	J04270597+1812372	J042705.97+181236.9	3314450004902845056	                                          	HIP 20782
     709	TAU   	2MASS J04270739+2215037    	M6.75        	04 27 07.40	+22 15 03.8	   5.00	 5.00	 -17.00	 5.00	 16.80	 0.60	      	     	           	177	153	174       	   	J04270739+2215037	J042707.41+221503.5	                   	                                          	2MASS J04270739+2215037
     710	TAU   	HD 285778                  	K1e          	04 27 10.57	+17 50 42.5	   1.00	 2.00	 -13.00	 1.00	 10.00	 2.00	119.00	 4.00	           	185	  5	187       	  5	J04271056+1750425	J042710.56+175042.5	3314376200184404096	                                          	HD 285778
     711	TAU   	DH Tau                     	             	04 29 41.56	+26 32 58.3	   9.00	 5.00	 -24.00	 5.00	 18.00	 4.00	      	     	           	   	153	188       	   	J04294155+2632582	J042941.55+263257.9	 151374198202645248	                                          	DH Tau
     712	TAU   	DI Tau                     	M0Ve         	04 29 42.48	+26 32 49.3	   6.00	 5.00	 -24.00	 5.00	 16.00	 0.80	      	     	           	188	153	194       	   	J04294247+2632493	J042942.47+263249.0	 151374198202645376	                                          	DI Tau
     713	TAU   	2MASS J04295950+2433078    	M5.5         	04 29 59.51	+24 33 07.8	  12.00	 5.00	 -21.00	 5.00	 19.30	 0.80	      	     	           	177	153	174       	   	J04295950+2433078	J042959.51+243307.5	                   	                                          	2MASS J04295950+2433078
     714	TAU   	UX Tau                     	K2Ve         	04 30 04.00	+18 13 49.4	  12.60	 0.40	 -17.60	 0.30	 16.00	 3.00	158.00	 7.00	           	188	  5	194       	  5	J04300399+1813493	J043003.99+181349.0	3314508622616073472	                                          	UX Tau
     715	TAU   	2MASS J04311578+1820072    	M4.25        	04 31 15.78	+18 20 07.2	  18.00	 3.00	 -14.00	 4.00	 16.20	 0.80	      	     	           	192	139	189       	   	J04311578+1820072	J043115.79+182006.9	3314328818106151808	                                          	2MASS J04311578+1820072
     716	TAU   	HD 284496                  	G0           	04 31 16.86	+21 50 25.0	  -0.40	 0.80	 -15.20	 0.60	      	     	124.00	 4.00	           	 84	  5	          	  5	J04311686+2150252	J043116.85+215025.1	 145034963912239488	                                          	HD 284496
     717	TAU   	2MASS J04312405+1800215    	M7.5         	04 31 24.06	+18 00 21.5	   3.00	 6.00	 -16.00	 6.00	 19.10	 0.40	      	     	           	174	153	189       	   	J04312405+1800215	J043124.06+180021.2	                   	                                          	2MASS J04312405+1800215
     718	TAU   	{[FK83]} LDN 1551 51       	K7e          	04 32 09.27	+17 57 22.8	  10.00	 1.00	 -19.00	 1.00	 19.00	 2.00	      	     	           	185	139	185       	   	J04320926+1757227	J043209.28+175722.5	3314251749212034816	                                          	{[FK83]} LDN 1551 51
     719	TAU   	V827 Tau                   	K7           	04 32 14.57	+18 20 14.7	  10.00	 1.00	 -14.00	 2.00	 18.00	 5.00	      	     	           	   	139	200       	   	J04321456+1820147	J043214.57+182014.6	3314338163954491136	                                          	V827 Tau
     720	TAU   	V826 Tau                   	K7V          	04 32 15.84	+18 01 38.7	  10.00	 1.00	 -19.00	 1.00	 18.00	 2.00	      	     	           	   	139	200       	   	J04321583+1801387	J043215.84+180138.5	3314258999116827776	                                          	V826 Tau
     721	TAU   	2MASS J04321606+1812464    	M6.2         	04 32 16.07	+18 12 46.5	  16.00	 4.00	 -19.00	 4.00	 20.80	 0.70	      	     	           	   	139	189       	   	J04321606+1812464	J043216.07+181246.2	3314309885890238720	                                          	2MASS J04321606+1812464
     722	TAU   	V928 Tau                   	M0.5         	04 32 18.86	+24 22 27.1	   6.00	 5.00	 -30.00	 5.00	 18.00	 2.00	      	     	           	201	153	194       	   	J04321885+2422271	J043218.87+242226.8	                   	                                          	V928 Tau
     723	TAU   	GG Tau                     	M0e          	04 32 30.35	+17 31 40.6	  13.00	 2.00	 -19.00	 1.00	 18.00	 2.00	      	     	           	202	139	194       	   	J04323034+1731406	J043230.35+173140.0	3314132589639374592	                                          	GG Tau
     724	TAU   	V1076 Tau                  	K7           	04 32 43.73	+18 02 56.3	   9.00	 1.00	 -16.00	 2.00	 18.30	 0.30	      	     	           	   	139	191       	   	J04324373+1802563	J043243.74+180256.1	3314258586799966592	                                          	V1076 Tau
     725	TAU   	V1321 Tau                  	M1.5         	04 32 53.25	+17 35 33.3	  11.00	 6.00	 -18.00	 6.00	 19.00	 2.00	      	     	           	174	 53	187       	   	J04325323+1735337	J043253.24+173533.4	3313476524795016448	                                          	V1321 Tau
     726	TAU   	GH Tau                     	M3Ve         	04 33 06.22	+24 09 34.0	 -10.00	10.00	 -30.00	10.00	 18.40	 0.30	      	     	           	188	 44	194       	   	J04330622+2409339	J043306.22+240933.7	                   	                                          	GH Tau
     727	TAU   	V830 Tau                   	M0-1         	04 33 10.03	+24 33 43.4	   4.00	 5.00	 -21.00	 4.00	 15.00	 0.60	      	     	           	203	139	191       	   	J04331003+2433433	J043310.03+243343.1	 147831571737487488	                                          	V830 Tau
     728	TAU   	HD 28867                   	             	04 33 33.04	+18 01 00.3	  12.02	 0.05	 -18.64	 0.03	      	     	130.00	10.00	           	   	  5	          	  5	J04333297+1801004	J043332.99+180100.2	3314244361868724224	                                          	HD 28867
     729	TAU   	DM Tau                     	M2Ve         	04 33 48.72	+18 10 10.0	  10.00	 2.00	 -13.00	 2.00	 11.00	 5.00	      	     	           	188	139	188       	   	J04334871+1810099	J043348.73+181009.8	3314282398099125632	                                          	DM Tau
     730	TAU   	CI Tau                     	K4IVe        	04 33 52.01	+22 50 30.2	  12.00	 3.00	 -15.00	 3.00	 16.00	 1.00	      	     	           	 30	139	194       	   	J04335200+2250301	J043352.01+225029.9	 145203154831806208	                                          	CI Tau
     731	TAU   	V1077 Tau                  	G8           	04 34 18.04	+18 30 06.7	   2.00	 1.00	  -6.00	 2.00	 17.90	 0.60	      	     	           	   	139	191       	   	J04341803+1830066	J043418.03+183006.4	3314297172786614272	                                          	V1077 Tau
     732	TAU   	2MASS J04344544+2308027    	M5.25        	04 34 45.45	+23 08 02.7	   9.00	 5.00	 -16.00	 5.00	 16.00	 2.00	      	     	           	177	153	194       	   	J04344544+2308027	J043445.45+230802.5	                   	                                          	2MASS J04344544+2308027
     733	TAU   	DN Tau                     	M1:Ve        	04 35 27.38	+24 14 58.9	   5.00	 2.00	 -22.00	 1.00	 16.00	 2.00	      	     	           	188	139	194       	   	J04352737+2414589	J043527.37+241458.6	 147606652890121856	                                          	DN Tau
     734	TAU   	HP Tau                     	K2-5e        	04 35 52.78	+22 54 23.1	  -5.00	 3.00	 -11.00	 4.00	 18.00	 2.00	      	     	           	204	139	194       	   	J04355277+2254231	J043552.80+225422.8	 145213187879627776	                                          	HP Tau
     735	TAU   	CoKu HP Tau G2             	G2e          	04 35 54.15	+22 54 13.5	   8.00	 3.00	  -7.00	 2.00	      	     	157.00	 7.00	           	204	  5	          	  5	J04355415+2254134	J043554.16+225413.3	 145213187875497088	                                          	CoKu HP Tau G2
     736	TAU   	V1324 Tau                  	M2           	04 35 56.84	+23 52 04.7	   6.00	 2.00	  -1.00	 3.00	 17.00	 2.00	      	     	           	174	139	187       	   	J04355683+2352049	J043556.84+235204.8	 147523605402800256	                                          	V1324 Tau
     737	TAU   	V1115 Tau                  	M0:V         	04 36 19.09	+25 42 59.0	   3.00	 3.00	 -19.00	 3.00	 22.00	 1.00	      	     	           	   	 29	190       	   	J04361909+2542589	J043619.10+254258.7	 148037764527442944	LkCa 14                                   	V1115 Tau
     738	TAU   	2MASS J04380007+2327167    	M5.25        	04 37 59.64	+23 27 09.7	   1.00	 5.00	 -18.00	 5.00	 15.60	 0.50	      	     	           	177	153	174       	   	J04380007+2327167	J043800.06+232716.4	 146758791990237056	                                          	2MASS J04380007+2327167
     739	TAU   	V1325 Tau                  	K2           	04 38 13.04	+20 22 47.1	   2.00	 1.00	  -8.00	 4.00	 16.00	 2.00	      	     	           	   	139	187       	   	J04381304+2022471	J043813.05+202247.0	                   	                                          	V1325 Tau
     740	TAU   	V1117 Tau                  	M1           	04 38 15.61	+23 02 27.3	  -7.00	 3.00	 -15.00	 3.00	 16.00	 2.00	      	     	           	   	139	187       	   	J04381561+2302276	J043815.61+230227.4	 146675950661195776	                                          	V1117 Tau
     741	TAU   	GM Tau                     	M6.5         	04 38 21.34	+26 09 13.7	   4.00	 4.00	 -26.00	 4.00	 15.00	 2.00	      	     	           	205	153	189       	   	J04382134+2609137	J043821.33+260913.6	                   	                                          	GM Tau
     742	TAU   	V1326 Tau                  	K3           	04 38 27.66	+15 43 37.9	   5.00	 2.00	  -7.00	 3.00	 16.00	 2.00	      	     	           	174	139	187       	   	J04382765+1543380	J043827.65+154337.9	3309969804256882688	                                          	V1326 Tau
     743	TAU   	DO Tau                     	M1Ve         	04 38 28.58	+26 10 49.4	   5.00	 7.00	 -31.00	 7.00	 20.00	 4.00	      	     	           	188	 53	188       	   	J04382858+2610494	J043828.58+261049.4	 148449913884294528	                                          	DO Tau
     744	TAU   	HD 285957                  	G6           	04 38 39.09	+15 46 13.3	  15.00	 1.00	 -20.90	 0.70	 19.00	 2.00	146.00	 5.00	           	174	  5	187       	  5	J04383907+1546137	J043839.07+154613.4	3309970388372433536	                                          	HD 285957
     745	TAU   	2MASS J04385859+2336351    	M4.25        	04 38 58.60	+23 36 35.2	  10.00	 4.00	 -24.00	 4.00	 16.70	 0.60	      	     	           	177	153	174       	   	J04385859+2336351	J043858.60+233634.9	 146767759879056896	                                          	2MASS J04385859+2336351
     746	TAU   	2MASS J04385871+2323595    	M6.5         	04 38 58.71	+23 23 59.6	   6.00	 4.00	 -25.00	 4.00	 15.40	 0.70	      	     	           	177	153	174       	   	J04385871+2323595	J043858.71+232359.2	                   	                                          	2MASS J04385871+2323595
     747	TAU   	2MASS J04390163+2336029    	M6           	04 39 01.63	+23 36 03.0	   5.00	 4.00	 -21.00	 4.00	 16.60	 0.50	      	     	           	177	139	174       	   	J04390163+2336029	J043901.63+233602.7	 146764804941553408	                                          	2MASS J04390163+2336029
     748	TAU   	2MASS J04390637+2334179    	M7.5         	04 39 06.38	+23 34 17.9	   1.00	 5.00	 -23.00	 5.00	 16.40	 0.50	      	     	           	177	153	174       	   	J04390637+2334179	J043906.38+233417.7	                   	                                          	2MASS J04390637+2334179
     749	TAU   	VY Tau                     	M0Ve         	04 39 17.41	+22 47 53.4	   6.00	 5.00	 -15.00	 5.00	 18.00	 1.00	      	     	           	206	153	194       	   	J04391741+2247533	J043917.42+224753.3	 146469246765971200	                                          	VY Tau
     750	TAU   	LkCa 15                    	K5:Ve        	04 39 17.80	+22 21 03.5	  -4.00	 4.00	 -22.00	 3.00	 13.00	 1.00	      	     	           	197	139	190       	   	J04391779+2221034	J043917.79+222103.2	 144936935582242304	                                          	LkCa 15
     751	TAU   	GN Tau                     	M2.5         	04 39 20.91	+25 45 02.1	  -3.00	 7.00	 -23.00	 7.00	 17.00	 1.00	      	     	           	   	 53	189       	   	J04392090+2545021	J043920.92+254501.9	 148378029017001344	                                          	GN Tau
     752	TAU   	IW Tau                     	K7Ve         	04 41 04.71	+24 51 06.2	   5.00	 5.00	 -22.00	 5.00	 15.80	 0.30	      	     	           	197	153	190       	   	J04410470+2451062	J044104.71+245105.9	                   	LkCa 16                                   	IW Tau
     753	TAU   	HD 283798                  	G5           	04 41 55.15	+26 58 49.1	  -1.70	 0.10	 -21.70	 0.10	 14.00	 2.00	107.00	 3.00	           	 84	  5	187       	  5	J04415515+2658495	J044155.15+265849.2	 148599305732728320	                                          	HD 283798
     754	TAU   	GO Tau                     	K5V:e        	04 43 03.10	+25 20 18.8	   4.00	 4.00	 -19.00	 4.00	 21.00	 5.00	      	     	           	   	139	194       	   	J04430309+2520187	J044303.08+252018.5	 148106312205607168	                                          	GO Tau
     755	TAU   	HD 283782                  	K1           	04 44 54.47	+27 17 44.8	   7.00	 2.00	 -23.00	 2.00	 18.00	 2.00	      	     	           	187	 29	187       	   	J04445445+2717454	J044454.47+271745.0	 154586318344905216	                                          	HD 283782
     756	TAU   	HD 30171                   	G3           	04 45 51.31	+15 55 49.4	  10.00	 2.00	 -24.00	 1.00	 23.00	 2.00	141.00	 5.00	           	174	  5	187       	  5	J04455129+1555496	J044551.31+155549.1	3309789381271520640	                                          	HD 30171
     757	TAU   	DQ Tau                     	M1Ve         	04 46 53.05	+17 00 00.2	   9.00	 2.00	 -12.00	 6.00	 22.40	 0.60	      	     	           	188	139	207       	   	J04465305+1700001	J044653.06+170000.0	3406269842981827712	                                          	DQ Tau
     758	TAU   	DS Tau                     	K4Ve         	04 47 48.59	+29 25 11.2	  15.00	 8.00	 -34.00	 4.00	 16.00	 2.00	      	     	           	208	209	194       	   	J04474859+2925112	J044748.59+292510.9	 158249306976130176	                                          	DS Tau
     759	TAU   	V1341 Tau                  	K1           	04 50 00.19	+22 29 57.2	  -4.00	 2.00	 -20.00	 1.00	 16.00	 2.00	118.00	 4.00	           	   	  5	187       	  5	J04500019+2229575	J045000.19+222957.3	3412878010943270784	                                          	V1341 Tau
     760	TAU   	UY Aur                     	M0e          	04 51 47.38	+30 47 13.5	   6.00	 3.00	 -27.00	 2.00	 18.00	 5.00	151.00	 9.00	           	202	  5	188       	  5	J04514737+3047134	J045147.35+304713.0	 159965197946584320	                                          	UY Aur
     761	TAU   	V1343 Tau                  	M2           	04 51 54.27	+17 58 27.5	   7.00	 5.00	 -20.00	 4.00	 18.00	 2.00	      	     	           	174	139	187       	   	J04515424+1758280	J045154.25+175827.8	3406540769517899392	                                          	V1343 Tau
     762	TAU   	V1346 Tau                  	K4           	04 52 30.75	+17 30 25.5	  -2.00	 1.00	 -13.00	 1.00	 16.00	 2.00	      	     	           	   	139	187       	   	J04523075+1730257	J045230.75+173025.5	3406444046854551424	                                          	V1346 Tau
     763	TAU   	StKM 1-523                 	K4.5         	04 52 50.15	+16 22 09.2	   9.00	 1.00	 -18.00	 1.00	 15.00	 2.00	      	     	           	174	139	187       	   	J04525015+1622092	J045250.16+162208.9	                   	                                          	StKM 1-523
     764	TAU   	V1348 Tau                  	K5           	04 52 57.07	+19 19 50.1	  -1.00	 1.00	 -18.00	 1.00	 15.00	 2.00	      	     	           	174	139	187       	   	J04525707+1919504	J045257.06+191950.1	3406967551828504960	                                          	V1348 Tau
     765	TAU   	HD 31281                   	G1V?         	04 55 09.62	+18 26 30.9	  -3.00	 1.00	 -16.30	 0.80	 13.90	 0.50	114.00	 4.00	           	 12	  5	 12       	  5	J04550962+1826308	J045509.62+182630.9	3406664361496811264	                                          	HD 31281
     766	TAU   	GM Aur                     	K3Ve         	04 55 10.98	+30 21 59.5	   8.00	 2.00	 -22.00	 3.00	 15.00	 1.00	      	     	           	188	139	194       	   	J04551098+3021595	J045510.97+302159.1	 156907902785833472	                                          	GM Aur
     767	TAU   	HD 282630                  	K0Ve         	04 55 36.96	+30 17 55.3	   3.00	 3.00	 -20.00	 3.00	 14.00	 2.00	      	     	           	197	 29	190       	   	J04553695+3017553	J045536.96+301754.8	 156900618521303040	LkCa 19                                   	HD 282630
     768	TAU   	AB Aur                     	A0Ve         	04 55 45.83	+30 33 04.4	   3.89	 0.06	 -24.05	 0.04	  8.90	 0.90	150.00	10.00	           	210	  5	 20       	  5	J04554582+3033043	J045545.84+303304.0	 156917489152834688	                                          	AB Aur
     769	TAU   	HD 31305                   	A0           	04 55 48.24	+30 20 16.1	   5.60	 0.40	 -23.60	 0.40	      	     	148.00	 9.00	           	211	  5	          	  5	J04554822+3020165	J045548.21+302016.1	 156901168277114752	                                          	HD 31305
     770	TAU   	SU Aur                     	G2e          	04 55 59.38	+30 34 01.6	   3.90	 0.10	 -24.37	 0.09	 16.00	 3.00	140.00	10.00	           	212	  5	194       	  5	J04555938+3034015	J045559.40+303401.3	 157010569684355072	                                          	SU Aur
     771	TAU   	V1353 Tau                  	M1.5         	04 56 56.55	+16 00 24.6	  11.00	 6.00	 -19.00	 7.00	 20.00	 2.00	      	     	           	174	139	187       	   	J04565654+1600248	J045656.55+160024.6	3405307392350267904	                                          	V1353 Tau
     772	TAU   	HD 286179                  	G3V?         	04 57 00.64	+15 17 52.9	  -1.00	 2.00	 -10.00	 1.00	 13.80	 0.50	128.00	 7.00	           	 12	  5	 12       	  5	J04570064+1517531	J045700.64+151752.9	3392859615053654912	                                          	HD 286179
     773	TAU   	HD 286178                  	G5           	04 57 17.67	+15 25 09.4	  10.00	 1.00	 -18.00	 1.00	 19.00	 2.00	      	     	           	 84	 29	187       	   	J04571766+1525094	J045717.66+152509.1	                   	                                          	HD 286178
     774	TAU   	V1354 Tau                  	K3           	04 57 30.65	+20 14 29.4	   2.00	 2.00	 -19.00	 2.00	 15.00	 2.00	      	     	           	   	 29	187       	   	J04573066+2014297	J045730.65+201429.3	3408608882170316416	                                          	V1354 Tau
     775	TAU   	V1207 Tau                  	K7           	04 58 39.75	+20 46 43.6	  11.00	 2.00	 -23.00	 3.00	 19.00	 2.00	      	     	           	   	139	187       	   	J04583974+2046441	J045839.74+204643.7	3409036867072118656	                                          	V1207 Tau
     776	TAU   	HD 31648                   	A5Ve         	04 58 46.26	+29 50 37.1	   4.79	 0.08	 -25.04	 0.05	      	     	142.00	 7.00	           	213	  5	          	  5	J04584626+2950370	J045846.26+295036.7	 156728854189185408	                                          	HD 31648
     777	TAU   	V1840 Ori                  	K4           	04 59 46.18	+14 30 55.2	  13.00	 1.00	 -17.00	 2.00	 21.00	 2.00	      	     	           	   	139	187       	   	J04594617+1430554	J045946.18+143055.2	3392562712554107392	                                          	V1840 Ori
     778	TAU   	HD 31950                   	G0           	05 00 24.32	+15 05 25.0	   0.00	 1.00	 -15.00	 1.00	 13.90	 0.90	      	     	           	 12	 29	 12       	   	J05002431+1505252	J050024.31+150524.9	3392806013861104896	                                          	HD 31950
     779	TAU   	2MASS J05023773+2154045    	M4.25        	05 02 37.74	+21 54 04.5	   2.00	 4.00	 -16.00	 4.00	 18.90	 0.90	      	     	           	177	153	174       	   	J05023773+2154045	J050237.73+215404.5	3412219747076999680	                                          	2MASS J05023773+2154045
     780	TAU   	V836 Tau                   	K7           	05 03 06.59	+25 23 19.7	   0.00	 5.00	 -16.00	 5.00	      	     	      	     	           	200	139	185       	   	J05030659+2523197	J050306.59+252319.5	3420008412568724736	                                          	V836 Tau
     781	TAU   	2MASS J05064662+2104296    	M5.25        	05 06 46.63	+21 04 29.6	  18.00	 4.00	 -27.00	 4.00	 19.00	 1.00	      	     	           	177	153	174       	   	J05064662+2104296	J050646.63+210429.4	                   	                                          	2MASS J05064662+2104296
     782	TAU   	RW Aur                     	K3:e         	05 07 49.54	+30 24 05.1	   7.00	 2.00	 -20.00	 4.00	 15.90	 0.60	      	     	           	214	 16	215       	   	J05074953+3024050	J050749.54+302404.7	 156430817820015232	                                          	RW Aur
     783	TAU   	2MASS J05160212+2214528    	M5           	05 16 02.13	+22 14 52.6	   6.00	 6.00	 -11.00	 6.00	 20.90	 0.50	      	     	           	177	139	174       	   	J05160212+2214528	J051602.12+221452.6	3414676227850714880	                                          	2MASS J05160212+2214528
